school name,charter number,site type,more details,statistical info,county
Lynhaven Elementary,865,Site-based Instruction,Lynhaven Elementary,DataQuest Reports,Santa Clara
Marshall Lane Elementary,984,Site-based Instruction,Marshall Lane Elementary,DataQuest Reports,Santa Clara
Monroe Middle,899,Site-based Instruction,Monroe Middle,DataQuest Reports,Santa Clara
Opportunity Youth Academy,1840,Combination of Site-based and IS,Opportunity Youth Academy,DataQuest Reports,Santa Clara
Perseverance Preparatory,1936,Site-based Instruction,Perseverance Preparatory,DataQuest Reports,Santa Clara
Price Charter Middle,575,Site-based Instruction,Price Charter Middle,DataQuest Reports,Santa Clara
Rocketship Academy Brilliant Minds,1393,Site-based Instruction,Rocketship Academy Brilliant Minds,DataQuest Reports,Santa Clara
Rocketship Alma Academy,1394,Site-based Instruction,Rocketship Alma Academy,DataQuest Reports,Santa Clara
Rocketship Discovery Prep,1193,Site-based Instruction,Rocketship Discovery Prep,DataQuest Reports,Santa Clara
Rocketship Fuerza Community Prep,1687,Site-based Instruction,Rocketship Fuerza Community Prep,DataQuest Reports,Santa Clara
Rocketship Los Suenos Academy,1127,Site-based Instruction,Rocketship Los Suenos Academy,DataQuest Reports,Santa Clara
Rocketship Mateo Sheedy Elementary,850,Site-based Instruction,Rocketship Mateo Sheedy Elementary,DataQuest Reports,Santa Clara
Rocketship Mosaic Elementary,1192,Site-based Instruction,Rocketship Mosaic Elementary,DataQuest Reports,Santa Clara
Rocketship Rising Stars,1778,Site-based Instruction,Rocketship Rising Stars,DataQuest Reports,Santa Clara
Rocketship Si Se Puede Academy,1061,Site-based Instruction,Rocketship Si Se Puede Academy,DataQuest Reports,Santa Clara
Rocketship Spark Academy,1526,Site-based Instruction,Rocketship Spark Academy,DataQuest Reports,Santa Clara
Rolling Hills Middle,887,Site-based Instruction,Rolling Hills Middle,DataQuest Reports,Santa Clara
San Jose Conservation Corps Charter,425,Site-based Instruction,San Jose Conservation Corps Charter,DataQuest Reports,Santa Clara
Sartorette Charter,497,Site-based Instruction,Sartorette Charter,DataQuest Reports,Santa Clara
Sherman Oaks Elementary,304,Site-based Instruction,Sherman Oaks Elementary,DataQuest Reports,Santa Clara
Summit Public School: Denali,1516,Site-based Instruction,Summit Public School: Denali,DataQuest Reports,Santa Clara
Summit Public School: Tahoma,1282,Site-based Instruction,Summit Public School: Tahoma,DataQuest Reports,Santa Clara
Sunrise Middle,1290,Site-based Instruction,Sunrise Middle,DataQuest Reports,Santa Clara
University Preparatory Academy Charter,844,Site-based Instruction,University Preparatory Academy Charter,DataQuest Reports,Santa Clara
Village,817,Site-based Instruction,Village,DataQuest Reports,Santa Clara
Voices College-Bound Language Academy,846,Site-based Instruction,Voices College-Bound Language Academy,DataQuest Reports,Santa Clara
Voices College-Bound Language Academy at Morgan Hill,1716,Site-based Instruction,Voices College-Bound Language Academy at Morgan Hill,DataQuest Reports,Santa Clara
Voices College-Bound Language Academy at Mt. Pleasant,1743,Site-based Instruction,Voices College-Bound Language Academy at Mt. Pleasant,DataQuest Reports,Santa Clara
Alianza Charter,164,Site-based Instruction,Alianza Charter,DataQuest Reports,Santa Cruz
California Connections Academy Monterey Bay,2056,Independent Study,California Connections Academy Monterey Bay,DataQuest Reports,Santa Cruz
Ceiba College Preparatory Academy,1004,Site-based Instruction,Ceiba College Preparatory Academy,DataQuest Reports,Santa Cruz
Delta Charter,59,Site-based Instruction,Delta Charter,DataQuest Reports,Santa Cruz
Diamond Technology Institute,265,Site-based Instruction,Diamond Technology Institute,DataQuest Reports,Santa Cruz
Linscott Charter,41,Site-based Instruction,Linscott Charter,DataQuest Reports,Santa Cruz
Ocean Grove Charter,747,Independent Study,Ocean Grove Charter,DataQuest Reports,Santa Cruz
Pacific Coast Charter,170,Independent Study,Pacific Coast Charter,DataQuest Reports,Santa Cruz
Pacific Collegiate Charter,210,Site-based Instruction,Pacific Collegiate Charter,DataQuest Reports,Santa Cruz
Santa Cruz County Career Advancement Center,1904,Combination of Site-based and IS,Santa Cruz County Career Advancement Center,DataQuest Reports,Santa Cruz
SLVUSD Charter,25,Combination of Site-based and IS,SLVUSD Charter,DataQuest Reports,Santa Cruz
Tierra Pacifica Charter,513,Site-based Instruction,Tierra Pacifica Charter,DataQuest Reports,Santa Cruz
Watsonville Charter School of the Arts,373,Site-based Instruction,Watsonville Charter School of the Arts,DataQuest Reports,Santa Cruz
Watsonville Prep,2032,Site-based Instruction,Watsonville Prep,DataQuest Reports,Santa Cruz
Anderson New Technology High,452,Site-based Instruction,Anderson New Technology High,DataQuest Reports,Shasta
Chrysalis Charter,778,Site-based Instruction,Chrysalis Charter,DataQuest Reports,Shasta
Cottonwood Creek Charter,1183,Independent Study,Cottonwood Creek Charter,DataQuest Reports,Shasta
Monarch Learning Center,307,Site-based Instruction,Monarch Learning Center,DataQuest Reports,Shasta
Northern Summit Academy Shasta,2076,Independent Study,Northern Summit Academy Shasta,DataQuest Reports,Shasta
PACE Academy Charter,1861,Site-based Instruction,PACE Academy Charter,DataQuest Reports,Shasta
Phoenix Charter Academy,1900,Independent Study,Phoenix Charter Academy,DataQuest Reports,Shasta
Redding Collegiate Academy,1864,Independent Study,Redding Collegiate Academy,DataQuest Reports,Shasta
Redding School of the Arts,1793,Site-based Instruction,Redding School of the Arts,DataQuest Reports,Shasta
Redding STEM Academy,1770,Site-based Instruction,Redding STEM Academy,DataQuest Reports,Shasta
Rocky Point Charter,849,Site-based Instruction,Rocky Point Charter,DataQuest Reports,Shasta
Shasta Charter Academy,256,Independent Study,Shasta Charter Academy,DataQuest Reports,Shasta
Shasta View Academy,2065,Independent Study,Shasta View Academy,DataQuest Reports,Shasta
Stellar Charter,490,Independent Study,Stellar Charter,DataQuest Reports,Shasta
Tree of Life International Charter,1869,Site-based Instruction,Tree of Life International Charter,DataQuest Reports,Shasta
University Preparatory,612,Site-based Instruction,University Preparatory,DataQuest Reports,Shasta
Golden Eagle Charter,983,Independent Study,Golden Eagle Charter,DataQuest Reports,Siskiyou
Northern United - Siskiyou Charter,1958,Independent Study,Northern United - Siskiyou Charter,DataQuest Reports,Siskiyou
Caliber: ChangeMakers Academy,1779,Site-based Instruction,Caliber: ChangeMakers Academy,DataQuest Reports,Solano
Dixon Montessori Charter,1210,Site-based Instruction,Dixon Montessori Charter,DataQuest Reports,Solano
Elise P. Buckingham Charter Magnet High,56,Combination of Site-based and IS,Elise P. Buckingham Charter Magnet High,DataQuest Reports,Solano
Elite Public,2034,Site-based Instruction,Elite Public,DataQuest Reports,Solano
Ernest Kimme Charter Academy for Independent Learning,1839,Independent Study,Ernest Kimme Charter Academy for Independent Learning,DataQuest Reports,Solano
Fairmont Charter Elementary,913,Site-based Instruction,Fairmont Charter Elementary,DataQuest Reports,Solano
Griffin Academy High School,2083,Site-based Instruction,Griffin Academy High School,DataQuest Reports,Solano
Kairos Public School Vacaville Academy,1635,Combination of Site-based and IS,Kairos Public School Vacaville Academy,DataQuest Reports,Solano
Mare Island Technology Academy,181,Site-based Instruction,Mare Island Technology Academy,DataQuest Reports,Solano
MIT Academy,372,Site-based Instruction,MIT Academy,DataQuest Reports,Solano
MIT Griffin Academy Middle,1912,Site-based Instruction,MIT Griffin Academy Middle,DataQuest Reports,Solano
Vallejo Charter,940,Site-based Instruction,Vallejo Charter,DataQuest Reports,Solano
Binkley Elementary Charter,1258,Site-based Instruction,Binkley Elementary Charter,DataQuest Reports,Sonoma
Cali Calmecac Language Academy,162,Site-based Instruction,Cali Calmecac Language Academy,DataQuest Reports,Sonoma
California Pacific Charter - Sonoma,2037,Independent Study,California Pacific Charter - Sonoma,DataQuest Reports,Sonoma
California Virtual Academy @ Sonoma,653,Independent Study,California Virtual Academy @ Sonoma,DataQuest Reports,Sonoma
Cesar Chavez Language Academy,1523,Site-based Instruction,Cesar Chavez Language Academy,DataQuest Reports,Sonoma
Cinnabar Charter,1310,Site-based Instruction,Cinnabar Charter,DataQuest Reports,Sonoma
Credo High,1281,Site-based Instruction,Credo High,DataQuest Reports,Sonoma
Dunham Charter,1194,Site-based Instruction,Dunham Charter,DataQuest Reports,Sonoma
Forestville Academy,842,Site-based Instruction,Forestville Academy,DataQuest Reports,Sonoma
Gravenstein Elementary,1445,Site-based Instruction,Gravenstein Elementary,DataQuest Reports,Sonoma
Guerneville Elementary,1978,Site-based Instruction,Guerneville Elementary,DataQuest Reports,Sonoma
Heartwood Charter,2071,Independent Study,Heartwood Charter,DataQuest Reports,Sonoma
Hillcrest Middle,1444,Site-based Instruction,Hillcrest Middle,DataQuest Reports,Sonoma
John B. Riebli Elementary,1422,Site-based Instruction,John B. Riebli Elementary,DataQuest Reports,Sonoma
Kid Street Learning Center Charter,215,Site-based Instruction,Kid Street Learning Center Charter,DataQuest Reports,Sonoma
Liberty Elementary,1260,Site-based Instruction,Liberty Elementary,DataQuest Reports,Sonoma
Liberty Independent Study School,2102,Independent Study,Liberty Independent Study School,DataQuest Reports,Sonoma
Live Oak Charter,382,Site-based Instruction,Live Oak Charter,DataQuest Reports,Sonoma
Loma Vista Immersion Academy,1579,Site-based Instruction,Loma Vista Immersion Academy,DataQuest Reports,Sonoma
Mark West Charter,616,Combination of Site-based and IS,Mark West Charter,DataQuest Reports,Sonoma
Mary Collins Charter School at Cherry Valley,480,Site-based Instruction,Mary Collins Charter School at Cherry Valley,DataQuest Reports,Sonoma
Miwok Valley Elementary Charter,1424,Site-based Instruction,Miwok Valley Elementary Charter,DataQuest Reports,Sonoma
Morrice Schaefer Charter,1439,Site-based Instruction,Morrice Schaefer Charter,DataQuest Reports,Sonoma
Northwest Prep Charter,526,Combination of Site-based and IS,Northwest Prep Charter,DataQuest Reports,Sonoma
Oak Grove Elementary/Willowside Middle,655,Site-based Instruction,Oak Grove Elementary/Willowside Middle,DataQuest Reports,Sonoma
Old Adobe Elementary Charter,1423,Site-based Instruction,Old Adobe Elementary Charter,DataQuest Reports,Sonoma
Olivet Elementary Charter,1440,Site-based Instruction,Olivet Elementary Charter,DataQuest Reports,Sonoma
Orchard View,310,Independent Study,Orchard View,DataQuest Reports,Sonoma
Pathways Charter,492,Independent Study,Pathways Charter,DataQuest Reports,Sonoma
Penngrove Elementary,1512,Site-based Instruction,Penngrove Elementary,DataQuest Reports,Sonoma
Petaluma Accelerated Charter,1726,Site-based Instruction,Petaluma Accelerated Charter,DataQuest Reports,Sonoma
Piner-Olivet Charter,98,Site-based Instruction,Piner-Olivet Charter,DataQuest Reports,Sonoma
Pivot Charter School - North Bay,1985,Independent Study,Pivot Charter School - North Bay,DataQuest Reports,Sonoma
REACH,1107,Site-based Instruction,REACH,DataQuest Reports,Sonoma
Rincon Valley Charter,525,Site-based Instruction,Rincon Valley Charter,DataQuest Reports,Sonoma
River Montessori Elementary Charter,1086,Site-based Instruction,River Montessori Elementary Charter,DataQuest Reports,Sonoma
Roseland Charter,558,Site-based Instruction,Roseland Charter,DataQuest Reports,Sonoma
Salmon Creek School - A Charter,941,Site-based Instruction,Salmon Creek School - A Charter,DataQuest Reports,Sonoma
San Miguel Elementary,1417,Site-based Instruction,San Miguel Elementary,DataQuest Reports,Sonoma
Santa Rosa Accelerated Charter,522,Site-based Instruction,Santa Rosa Accelerated Charter,DataQuest Reports,Sonoma
Santa Rosa Charter School for the Arts,845,Site-based Instruction,Santa Rosa Charter School for the Arts,DataQuest Reports,Sonoma
Santa Rosa French-American Charter (SRFACS),1397,Site-based Instruction,Santa Rosa French-American Charter (SRFACS),DataQuest Reports,Sonoma
Sebastopol Independent Charter,78,Site-based Instruction,Sebastopol Independent Charter,DataQuest Reports,Sonoma
Sonoma Charter,9,Site-based Instruction,Sonoma Charter,DataQuest Reports,Sonoma
Sonoma Mountain Elementary,1450,Site-based Instruction,Sonoma Mountain Elementary,DataQuest Reports,Sonoma
Spring Creek Matanzas Charter,1105,Site-based Instruction,Spring Creek Matanzas Charter,DataQuest Reports,Sonoma
SunRidge Charter,481,Site-based Instruction,SunRidge Charter,DataQuest Reports,Sonoma
Twin Hills Charter Middle,904,Site-based Instruction,Twin Hills Charter Middle,DataQuest Reports,Sonoma
Village Charter,912,Site-based Instruction,Village Charter,DataQuest Reports,Sonoma
Village Elementary Charter,1257,Site-based Instruction,Village Elementary Charter,DataQuest Reports,Sonoma
Whited Elementary Charter,1259,Site-based Instruction,Whited Elementary Charter,DataQuest Reports,Sonoma
Woodland Star Charter,613,Site-based Instruction,Woodland Star Charter,DataQuest Reports,Sonoma
Wright Charter,1087,Site-based Instruction,Wright Charter,DataQuest Reports,Sonoma
Aspire Summit Charter Academy,812,Site-based Instruction,Aspire Summit Charter Academy,DataQuest Reports,Stanislaus
Aspire University Charter,1963,Site-based Instruction,Aspire University Charter,DataQuest Reports,Stanislaus
Aspire Vanguard College Preparatory Academy,1125,Site-based Instruction,Aspire Vanguard College Preparatory Academy,DataQuest Reports,Stanislaus
Connecting Waters Charter,477,Independent Study,Connecting Waters Charter,DataQuest Reports,Stanislaus
Connecting Waters Charter School - Central Valley,1973,Independent Study,Connecting Waters Charter School - Central Valley,DataQuest Reports,Stanislaus
Denair Charter Academy,357,Independent Study,Denair Charter Academy,DataQuest Reports,Stanislaus
Denair Elementary Charter Academy,1750,Site-based Instruction,Denair Elementary Charter Academy,DataQuest Reports,Stanislaus
eCademy Charter at Crane,1309,Independent Study,eCademy Charter at Crane,DataQuest Reports,Stanislaus
Fusion Charter,1695,Independent Study,Fusion Charter,DataQuest Reports,Stanislaus
Gratton Charter,1099,Site-based Instruction,Gratton Charter,DataQuest Reports,Stanislaus
Great Valley Academy,985,Site-based Instruction,Great Valley Academy,DataQuest Reports,Stanislaus
Great Valley Academy - Salida,1819,Site-based Instruction,Great Valley Academy - Salida,DataQuest Reports,Stanislaus
Hart-Ransom Academic Charter,80,Independent Study,Hart-Ransom Academic Charter,DataQuest Reports,Stanislaus
Hickman Charter,D4,Independent Study,Hickman Charter,DataQuest Reports,Stanislaus
Hickman Elementary,D4,Site-based Instruction,Hickman Elementary,DataQuest Reports,Stanislaus
Hickman Middle,D4,Site-based Instruction,Hickman Middle,DataQuest Reports,Stanislaus
Independence Charter,1098,Site-based Instruction,Independence Charter,DataQuest Reports,Stanislaus
Keyes to Learning Charter,85,Independent Study,Keyes to Learning Charter,DataQuest Reports,Stanislaus
Oakdale Charter,103,Independent Study,Oakdale Charter,DataQuest Reports,Stanislaus
Paradise Charter,803,Site-based Instruction,Paradise Charter,DataQuest Reports,Stanislaus
Riverbank Language Academy,856,Site-based Instruction,Riverbank Language Academy,DataQuest Reports,Stanislaus
Roberts Ferry Charter School Academy,1171,Site-based Instruction,Roberts Ferry Charter School Academy,DataQuest Reports,Stanislaus
Shiloh Charter,1175,Site-based Instruction,Shiloh Charter,DataQuest Reports,Stanislaus
Stanislaus Alternative Charter,1607,Combination of Site-based and IS,Stanislaus Alternative Charter,DataQuest Reports,Stanislaus
Valley College High,172,Combination of Site-based and IS,Valley College High,DataQuest Reports,Stanislaus
Whitmore Charter High,658,Site-based Instruction,Whitmore Charter High,DataQuest Reports,Stanislaus
Whitmore Charter School of Art & Technology,657,Site-based Instruction,Whitmore Charter School of Art & Technology,DataQuest Reports,Stanislaus
AeroSTEM Academy,2000,Site-based Instruction,AeroSTEM Academy,DataQuest Reports,Sutter
California Virtual Academy at Sutter,1606,Independent Study,California Virtual Academy at Sutter,DataQuest Reports,Sutter
Inspire Charter School - North,1801,Independent Study,Inspire Charter School - North,DataQuest Reports,Sutter
Pathways Charter Academy,2089,Independent Study,Pathways Charter Academy,DataQuest Reports,Sutter
South Sutter Charter,724,Independent Study,South Sutter Charter,DataQuest Reports,Sutter
Sutter Peak Charter Academy,1764,Independent Study,Sutter Peak Charter Academy,DataQuest Reports,Sutter
Twin Rivers Charter,639,Site-based Instruction,Twin Rivers Charter,DataQuest Reports,Sutter
Winship Community,1826,Independent Study,Winship Community,DataQuest Reports,Sutter
Yuba City Charter,289,Site-based Instruction,Yuba City Charter,DataQuest Reports,Sutter
Evergreen Institute of Excellence,1754,Independent Study,Evergreen Institute of Excellence,DataQuest Reports,Tehama
Lassen-Antelope Volcanic Academy (LAVA),1813,Independent Study,Lassen-Antelope Volcanic Academy (LAVA),DataQuest Reports,Tehama
Lincoln Street,1667,Independent Study,Lincoln Street,DataQuest Reports,Tehama
Tehama eLearning Academy,430,Independent Study,Tehama eLearning Academy,DataQuest Reports,Tehama
California Heritage Youthbuild Academy II,1809,Site-based Instruction,California Heritage Youthbuild Academy II,DataQuest Reports,Trinity
Accelerated Charter High,1781,Site-based Instruction,Accelerated Charter High,DataQuest Reports,Tulare
Blue Oak Academy,1860,Site-based Instruction,Blue Oak Academy,DataQuest Reports,Tulare
Butterfield Charter,867,Independent Study,Butterfield Charter,DataQuest Reports,Tulare
California Connections Academy Central Valley,804,Independent Study,California Connections Academy Central Valley,DataQuest Reports,Tulare
Charter Home School Academy,250,Combination of Site-based and IS,Charter Home School Academy,DataQuest Reports,Tulare
Crescent Valley Public Charter II,1894,Independent Study,Crescent Valley Public Charter II,DataQuest Reports,Tulare
Eleanor Roosevelt Community Learning Center,395,Independent Study,Eleanor Roosevelt Community Learning Center,DataQuest Reports,Tulare
Global Learning Charter,1870,Site-based Instruction,Global Learning Charter,DataQuest Reports,Tulare
Harmony Magnet Academy,970,Site-based Instruction,Harmony Magnet Academy,DataQuest Reports,Tulare
La Sierra High,341,Site-based Instruction,La Sierra High,DataQuest Reports,Tulare
Loma Vista Charter,1329,Independent Study,Loma Vista Charter,DataQuest Reports,Tulare
Monarch River Academy,2057,Independent Study,Monarch River Academy,DataQuest Reports,Tulare
Porterville Military Academy,1956,Site-based Instruction,Porterville Military Academy,DataQuest Reports,Tulare
Sequoia Elementary Charter,1829,Site-based Instruction,Sequoia Elementary Charter,DataQuest Reports,Tulare
Sierra Vista Charter high,1664,Independent Study,Sierra Vista Charter high,DataQuest Reports,Tulare
Summit Charter Academy,690,Combination of Site-based and IS,Summit Charter Academy,DataQuest Reports,Tulare
Sycamore Valley Academy,1382,Site-based Instruction,Sycamore Valley Academy,DataQuest Reports,Tulare
University Preparatory High,1076,Site-based Instruction,University Preparatory High,DataQuest Reports,Tulare
Valley Life Charter,1293,Combination of Site-based and IS,Valley Life Charter,DataQuest Reports,Tulare
Visalia Charter Independent Study,720,Independent Study,Visalia Charter Independent Study,DataQuest Reports,Tulare
Visalia Technical Early College,1128,Site-based Instruction,Visalia Technical Early College,DataQuest Reports,Tulare
Connections Visual and Performing Arts Academy,408,Site-based Instruction,Connections Visual and Performing Arts Academy,DataQuest Reports,Tuolumne
Gold Rush Charter,807,Independent Study,Gold Rush Charter,DataQuest Reports,Tuolumne
"Architecture, Construction & Engineering Charter High (ACE)",1126,Site-based Instruction,"Architecture, Construction & Engineering Charter High (ACE)",DataQuest Reports,Ventura
BRIDGES Charter,1203,Site-based Instruction,BRIDGES Charter,DataQuest Reports,Ventura
Camarillo Academy of Progressive Education,943,Combination of Site-based and IS,Camarillo Academy of Progressive Education,DataQuest Reports,Ventura
Golden Valley Charter,356,Independent Study,Golden Valley Charter,DataQuest Reports,Ventura
IvyTech Charter,1202,Independent Study,IvyTech Charter,DataQuest Reports,Ventura
Meadows Arts and Technology Elementary,1072,Site-based Instruction,Meadows Arts and Technology Elementary,DataQuest Reports,Ventura
Peak Prep Pleasant Valley,2062,Combination of Site-based and IS,Peak Prep Pleasant Valley,DataQuest Reports,Ventura
River Oaks Academy,1256,Independent Study,River Oaks Academy,DataQuest Reports,Ventura
University Preparation Charter School at CSU Channel Islands,464,Site-based Instruction,University Preparation Charter School at CSU Channel Islands,DataQuest Reports,Ventura
Valley Oak Charter,501,Independent Study,Valley Oak Charter,DataQuest Reports,Ventura
Ventura Charter School of Arts and Global Education,805,Combination of Site-based and IS,Ventura Charter School of Arts and Global Education,DataQuest Reports,Ventura
Vista Real Charter High,735,Independent Study,Vista Real Charter High,DataQuest Reports,Ventura
Compass Charter Schools of Yolo,2059,Independent Study,Compass Charter Schools of Yolo,DataQuest Reports,Yolo
Da Vinci Charter Academy,1079,Site-based Instruction,Da Vinci Charter Academy,DataQuest Reports,Yolo
Empowering Possibilities International Charter,1746,Site-based Instruction,Empowering Possibilities International Charter,DataQuest Reports,Yolo
River Charter Schools Lighthouse Charter,1659,Site-based Instruction,River Charter Schools Lighthouse Charter,DataQuest Reports,Yolo
Sacramento Valley Charter,1338,Site-based Instruction,Sacramento Valley Charter,DataQuest Reports,Yolo
Science & Technology Academy at Knights Landing,1201,Site-based Instruction,Science & Technology Academy at Knights Landing,DataQuest Reports,Yolo
Washington Middle College High,907,Site-based Instruction,Washington Middle College High,DataQuest Reports,Yolo
CORE Charter,165,Independent Study,CORE Charter,DataQuest Reports,Yuba
Marysville Charter Academy for the Arts,306,Site-based Instruction,Marysville Charter Academy for the Arts,DataQuest Reports,Yuba
Paragon Collegiate Academy,1182,Site-based Instruction,Paragon Collegiate Academy,DataQuest Reports,Yuba
Wheatland Charter Academy,370,Site-based Instruction,Wheatland Charter Academy,DataQuest Reports,Yuba
Yuba County Career Preparatory Charter,92,Combination of Site-based and IS,Yuba County Career Preparatory Charter,DataQuest Reports,Yuba
Yuba Environmental Science Charter Academy,990,Site-based Instruction,Yuba Environmental Science Charter Academy,DataQuest Reports,Yuba
